"sampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"collection-date"	"SampleID-new"	"sampleID_heat_b"	"Barplot-name-rev"	"yaer"	"month"	"sample-name-sequencing-centre"	"sequencing-centre"	"new-sample-Ids"	"sequancing-run"	"result"	"station"	"barplot-name"	"origin"	"origin_new"	"environment"	"DEPTH"	"amplicon"	"primers"	"DNA-extraction"	"DNA-conc"	"temperature"	"pH"	"turbidity"	"conductivity"	"TN"	"TP"	"Na"
"Ein7_0918_B"			"09-2018"	"6B-819"	"Ein7 0918"	"6B-918"	2018	"Sep"	"Oded104_6B_0918"	"UIC"	"6B-918"	"10-2020"	"work"	"Ein7"	"Ein7 09-2018"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	3.7	25	7.22	0.82	4500	4.44	16	24.61
"Fuliya4_09_2018_B"			"09-2018"	"5B-819"	" Fuliya4 09-2018"	"5B-918"	2018	"Sep"	"Oded105_5B_0918"	"UIC"	"5B-918"	"10-2020"	"work"	"Fuliya4"	"Fuliya4 09-2018"	"Fulia"	"Fuliya"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	22.6	27	7.39	1.46	3210	6.76	151.7	18.05
"Tiberias_Head_01_2019_B"			"01-2019"	"12B-911"	"Tiberias Head 01-2019"	"12B-119"	2019	"Jan"	"Oded116_12B_0119"	"UIC"	"12B-119"	"10-2020"	"work"	"Tiberias Head"	"Tiberias Head 01-2019"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	15.9	58	6.49	0.786	45700	33.73	7	277.38
"Tiberias_Pool_01_2019_B"			"01-2019"	"14B-911"	"Tiberias Pool 01-2019"	"14B-119"	2019	"Jan"	"Oded117_14B_0119"	"UIC"	"14B-119"	"10-2020"	"work"	"Tiberias Pool"	"Tiberias Pool 01-2019"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	25.6	39	7.27	0.781	47500	36.22	8.7	295.46
"Gesher_hana_01_2019_B"			"01-2019"	"11B-911"	"Gesher hana 01-2019"	"11B-119"	2019	"Jan"	"Oded119_11B_0119"	"UIC"	"11B-119"	"10-2020"	"work"	"Gesher hana"	"Gesher hana 01-2019"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	28	22	7.82	5.04	1780	6.28	43.2	7.35
"Maayan1_01_2019_B"			"01-2019"	"9B-911"	"Maayan1 01-2019"	"9B-119"	2019	"Jan"	"Oded120_9B_0119"	"UIC"	"9B-119"	"10-2020"	"work"	"Maayan1"	"Maayan1 01-2019"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	21.4	23.5	7.09	2.92	1927	6.18	33.4	8.17
"Ein7_01_2019_B"			"01-2019"	"6B-911"	"Ein7 01-2019"	"6B-119"	2019	"Jan"	"Oded121_6B_0119"	"UIC"	"6B-119"	"10-2020"	"fail"	"Ein7"	"Ein7 01-2019"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	11.3	23	7.16	5.88	1775	6.34	45.5	7.31
"Fuliya4_01_2019_B"			"01-2019"	"5B-911"	"Fuliya4 01-2019"	"5B-119"	2019	"Jan"	"Oded122_5B_0119"	"UIC"	"5B-119"	"10-2020"	"fail"	"Fuliya4"	"Fuliya4 01-2019"	"Fulia"	"Fuliya"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	24.4	23	7.53	2.88	3650	4.34	93.5	21.1
"Tiberias_Head_06_2018_B"			"06-2018"	"12B-816"	"Tiberias Head 06-2018"	"12B-618"	2018	"Jun"	"Oded124_12B_0618"	"UIC"	"12B-618"	"10-2020"	"work"	"Tiberias Head"	"Tiberias Head 06-2018"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	21.2	58	6.49	0.786	45700	33.73	7	277.38
"Tiberias_Pool_06_2018_B"			"06-2018"	"14B-816"	"Tiberias Pool 06-2018"	"14B-618"	2018	"Jun"	"Oded126_14B_0618"	"UIC"	"14B-618"	"10-2020"	"work"	"Tiberias Pool"	"Tiberias Pool 06-2018"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	4.16	39	7.27	0.781	47500	36.22	8.7	295.46
"Tiberias_Pool_09_2017_B"			"09-2017"	"14B-719"	"Tiberias Pool 09-2017"	"14B-917"	2017	"Sep"	"14B-0917-Lgsp17F"	"MrDNA"	"14B-917"	1.2021	"worked"	"Tiberias Pool"	"Tiberias Pool 09-2017"	"Hamei-tveria"	"Tiberias Hot Springs"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	3.48	46	6.97	1.32	47900	7.71	20.6	366.42
"Gesher_hana_09_2017_B"			"09-2017"	"11B-719"	"Gesher hana 09-2017"	"11B-917"	2017	"Sep"	"11B-0917-Lgsp17F"	"MrDNA"	"11B-917"	1.2021	"worked"	"Gesher hana"	"Gesher hana 09-2017"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	7.8	26	7.89	2.21	4430	2.4	18.3	27.23
"Nur_09_2017_B"			"09-2017"	"10B-719"	"Nur 09-2017"	"10B-917"	2017	"Sep"	"10B-0917-Lgsp17F"	"MrDNA"	"10B-917"	1.2021	"worked"	"Nur"	"Nur 09-2017"	"Tabha"	"Tabgha"	"Biofilm"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-soil"	1.16	26	7.29	0.54	6660	2.04	17.4	41.58
