id	time	collection_date	year	month	station	cluster	environment	sequancing-run	sequencing-centre	faith_pd	pielou_evenness	shannon_entropy	observed_OTUs
6B-118	2	01-2018	2018	Jan	ein7	Tabgha	biofilm	10-2020	UIC	5.39849284244379	0.608507851877505	3.57963448532931	59
5B-118	2	01-2018	2018	Jan	fulia4	Fuliya	biofilm	10-2020	UIC	6.46824445972221	0.826780943715234	5.52827121601695	103
11B-918	4	09-2018	2018	Sep	gesher-hana	Tabgha	biofilm	10-2020	UIC	3.62049373345169	0.88104481022514	3.60123792327172	17
9B-918	4	09-2018	2018	Sep	maayan1	Tabgha	biofilm	10-2020	UIC	5.83423441266134	0.786055083894516	5.07746906289883	88
6B-918	4	09-2018	2018	Sep	ein7	Tabgha	biofilm	10-2020	UIC	4.16374106272049	0.660074260760359	3.32967471931943	33
5B-918	4	09-2018	2018	Sep	fulia4	Fuliya	biofilm	10-2020	UIC	5.41999225444899	0.654858262195525	4.07899338318914	75
12B-119	5	01-2019	2019	Jan	tveria-head	Tiberias_Hot_Springs	biofilm	10-2020	UIC	3.24634402429141	0.387616641055703	1.43435201397496	13
14B-119	5	01-2019	2019	Jan	tveria-pool	Tiberias_Hot_Springs	biofilm	10-2020	UIC	2.93208774020562	0.610009200304681	0.966841707577819	3
11B-119	5	01-2019	2019	Jan	gesher-hana	Tabgha	biofilm	10-2020	UIC	6.69459906053865	0.80297651394101	5.36910288378231	103
9B-119	5	01-2019	2019	Jan	maayan1	Tabgha	biofilm	10-2020	UIC	6.40944075297533	0.70014185975777	4.51097444149775	87
6B-119	5	01-2019	2019	Jan	ein7	Tabgha	biofilm	10-2020	UIC	4.41744489738723	0.686745034212312	3.40226971467114	31
5B-119	5	01-2019	2019	Jan	fulia4	Fuliya	biofilm	10-2020	UIC	5.50662184548639	0.818517478722582	4.87361375179716	62
12B-618	3	06-2018	2018	Jun	tveria-head	Tiberias_Hot_Springs	biofilm	10-2020	UIC	3.21499452386579	0.60800476533762	2.01974811180044	10
14B-618	3	06-2018	2018	Jun	tveria-pool	Tiberias_Hot_Springs	biofilm	10-2020	UIC	2.8138984009258		0	1
14B-618-OR	3	06-2018	2018	Jun	tveria-pool	Tiberias_Hot_Springs	biofilm	10-2020	UIC	2.94216850926655	0.510225674908213	0.808688561634662	3
11B-917	1	09-2017	2017	Sep	gesher-hana	Tabgha	biofilm	1-2021	MrDNA	4.37951679130731	0.831623029545325	4.04000887264161	29
10B-917	1	09-2017	2017	Sep	nur	Tabgha	biofilm	1-2021	MrDNA	3.74008878749005	0.837795428595081	3.5588942517663	19
