"# Constructed from biom file"																																								
"#OTU ID"	"Tiberias_Head_09_2017"	"Tiberias_Pump_09_2017"	"Tiberias_Pool_09_2018"	"Tiberias_Pool_01_2019"	"Tiberias_Pool_06_2018"	"Tiberias_Pool_01_2018"	"Tiberias_Head_09_2018"	"Tiberias_Head_01_2019"	"Tiberias_Head_06_2018"	"Tiberias_Pump_01_2019"	"Tiberias_Pump_09_2018"	"Tiberias_Pump_01_2018"	"Haon_01_2019"	"Haon_09_2017"	"Haon_01_2018"	"Haon_09_2018"	"Nur_09_2018"	"Nur_09_2017"	"Nur_01_2019"	"Nur_01_2018"	"Maayan1_09_2017"	"Gesher_hana_09_2017"	"Barbutim_01_2019"	"Maayan1_09_2018"	"Gesher_hana_09_2018"	"Ein7_09_2018"	"Barbutim_09_2018"	"Barbutim_01_2018"	"Maayan1_01_2018"	"Fuliya4_01_2019"	"Ein7_01_2018"	"Gesher_hana_01_2018"	"Fuliya4_09_2017"	"Fuliya4_01_2018"	"Barbutim_09_2017"	"Ein7_09_2017"	"Fuliya4_09_2018"	"Maayan1_01_2019"	"Gesher_hana_01_2019"	"Ein7_01_2019"
"c1933"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132075471698113	0	0.013731060606061	0.079207289874466	0.007062834875792	0	0.01608040201005	0.02451333813987	0.006606007727783	0	0	0	0	0.003864734299517	0.005868844092881	0.004557139518579	0.008048119281599	0	0	0	0	0.060737527114968	0
"4510c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011320754716981	0.002593360995851	0.002683080808081	0.010259351303129	0	0.01182717837316	0.078391959798995	0	0	0	0.001682557487381	0.015290519877676	0	0	0	0.006777284412246	0.00152490681125	0.000509675877996	0.002921413964359	0.00346841913107	0.013085690164627	0	0.021463414634146
"cc19e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053661616161616	0.03944433823998	0	0	0.034170854271357	0	0	0	0	0	0	0	0.012375606021944	0.004089740593597	0	0	0.00993280747882	0	0	0	0
"f8481"	0.031578947368421	0.080229226361032	0.119891008174387	0	0.078449905482042	0.021229216152019	0	0	0	0	0.035874439461884	0.669614345369688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3c64f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007306380905991	0	0	0.01802451333814	0.013835223731771	0	0	0	0	0	0.079612145955601	0	0	0	0.0382705229331	0.001642935377875	0	0.014874496436319	0
"f93ff"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052582379060528	0	0	0.053169734151329	0	0	0	0
"bd9f8"	0	0	0	0	0	0.000296912114014	0	0	0	0.135874693338366	0.005231689088191	0.005895357406043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013404374649467	0	0	0	0.000255167134473	0	0	0	0	0	0	0	0
"09921"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078914141414141	0.092461607085962	0	0	0.023618090452261	0	0.005608874485853	0	0	0.017737003058104	0	0.022705314009662	0	0	0.007539817011183	0	0.050248320186971	0	0.037990713381174	0.030678648899907	0
"a173a"	0.457894736842105	0.01432664756447	0	0	0.045368620037807	0.005195961995249	0	0	0	0	0.035874439461884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ae398"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042253521126761	0	0	0	0.591666666666667	0	0.032023475376372	0.027693386305212	0	0	0	0.008944870390654	0	0	0
"2b934"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020754716981132	0.018672199170125	0	0.009749569871917	0.004383828543595	0	0	0.009372746935833	0	0	0	0	0	0	0.008165348303139	0.015774713718159	0.005421890884446	0	0.007887817703769	0.00328587075575	0	0.029439107530214	0.044878048780488
"dbd00"	0.007368421052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056502525252525	0.013318039890397	0	0	0	0	0.054219120029914	0	0	0.13822629969419	0	0	0	0	0.022619451033548	0	0	0.001825483753195	0	0	0
"e1e6e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05305367057372	0	0	0.01467803030303	0.011278914165552	0.005845104724793	0.034757422157857	0.150753768844221	0.021629416005768	0.1498192695999	0	0	0	0	0	0.035085480990049	0.033652722598738	0.056845137241613	0	0	0.017342095655349	0	0.118686086148125	0
"bee4e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182172430589381	0	0	0	0	0	0	0	0	0	0.067236539933657	0	0	0	0	0	0	0	0
"caea4"	0	0	0	0	0	0	0	0	0	0	0	0	0.008783894375034	0.143388368287967	0.019312937959323	0.001787875453845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001355472721111	0.000955642271243	0	0.006206644760862	0	0	0
"7454b"	0	0.011461318051576	0	0	0	0	0	0	0	0	0	0.001473839351511	0.002700638332697	0.002429470970301	0.006551586623369	0	0	0.022641509433962	0	0	0.008730007009495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010809231668127	0	0	0	0
"d408f"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363972856261567	0	0	0.028093434343434	0.000573504110113	0	0	0	0	0.091486974947027	0	0	0	0	0	0.034064812452156	0.02932928254265	0	0	0	0.029390288426433	0	0	0
