"# Constructed from biom file"																																								
"#OTU ID"	"Barbutim-09-2017"	"Haon-09-2017"	"Tiberias-Head-09-2017"	"Maayan1-09-2017"	"Ein7-09-2017"	"Fuliya4-09-2017"	"Tiberias-Pump-09-2017"	"Gesher-Hana-09-2017"	"Nur-09-2017"	"Barbutim-01-2018"	"Haon-01-2018"	"Tiberias-Pump-01-2018"	"Tiberias-Pool-01-2018"	"Gesher-Hana-01-2018"	"Nur-01-2018"	"Maayan1-01-2018"	"Ein7-01-2018"	"Fuliya4-01-2018"	"Barbutim-09-2018"	"Haon-09-2018"	"Tiberias-Head-09-2018"	"Tiberias-Pump-09-2018"	"Tiberias-Pool-09-2018"	"Gesher-Hana-09-2018"	"Nur-09-2018"	"Maayan1-09-2018"	"Ein7-09-2018"	"Fuliya4-09-2018"	"Barbutim-01-2019"	"Haon-01-2019"	"Tiberias-Head-01-2019"	"Tiberias-Pump-01-2019"	"Tiberias-Pool-01-2019"	"Gesher-Hana-01-2019"	"Nur-01-2019"	"Maayan1-01-2019"	"Ein7-01-2019"	"Fuliya4-01-2019"	"Tiberias-Head-06-2018"	"Tiberias-Pool-06-2018"
"e2aff"	0	0	0	32	0	0	0	0	0	0	0	38	0	0	0	20	0	21	0	0	0	86	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	39	0	0
"1be76"	0	0	0	0	43	0	0	12	0	149	0	0	0	67	0	0	20	0	0	0	0	0	0	185	0	0	0	47	0	0	0	0	0	46	0	0	0	0	0	0
"0a011"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	74	0	0	0	0
"e3fd1"	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	1533	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0
"fb7a7"	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3292d"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0
"aadc9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	1071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	433	526	388	0	0	0
"65e53"	0	0	0	0	24	0	0	16	0	0	0	0	0	38	0	0	25	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0
"7164a"	0	0	0	0	0	0	0	9	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	1092	0	0	0	0	0	0	343	0	0	0	0	0	0
"96bcd"	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
"84be2"	0	0	0	0	0	26	0	0	17	0	0	0	0	0	0	0	0	60	191	0	0	0	0	0	0	0	10	87	38	0	0	0	0	27	0	0	0	0	0	0
"09c1e"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
"b4e69"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a4a18"	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0
"afaae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
"d9886"	0	0	0	51	17	0	0	0	0	0	0	64	0	100	2141	292	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	99	73	183	128	0	0	0
"8634a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0
"eee9c"	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4cb24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1f87c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
"1d98a"	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	34	0	0	0	0	0	0
"94adb"	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0
"f481b"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
"25463"	0	0	0	0	0	11	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	636	0	25	0	0	0	0	0	0	0	75	0	0	0	0	0	0
"2dfdf"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0
