"# Constructed from biom file"																	
"#OTU ID"	"IgraphID"	"Tiberias_Head_09_2017"	"Tiberias_Pump_09_2017"	"Tiberias_Pool_09_2018"	"Tiberias_Pool_01_2019"	"Tiberias_Pool_06_2018"	"Tiberias_Pool_01_2018"	"Tiberias_Head_09_2018"	"Tiberias_Head_01_2019"	"Tiberias_Head_06_2018"	"Tiberias_Pump_01_2019"	"Tiberias_Pump_09_2018"	"Tiberias_Pump_01_2018"	"Haon_01_2019"	"Haon_09_2017"	"Haon_01_2018"	"Haon_09_2018"
"7901c"	89	17	8	0	0	314	574	0	31	0	0	157	260	5085	0	910	30679
"b6c0e"	90	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	0
"89172"	91	0	15	0	0	52	37	0	0	0	0	237	0	0	0	0	0
"ed27b"	92	19	0	10	0	0	0	0	0	0	0	24	87	0	0	0	0
"b4b90"	93	0	0	0	0	0	53	0	0	0	0	0	11	0	0	0	0
"32acf"	94	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0
"ead8f"	95	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
"fbe02"	96	0	0	0	0	0	15	0	0	0	0	0	0	70	18	0	5
"4a4c1"	97	0	0	0	0	0	0	1063	0	0	0	0	0	0	0	0	0
"571b9"	98	0	0	0	0	0	0	0	0	0	0	0	0	240	21	37	0
"bad9b"	99	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"1b115"	100	0	0	0	0	0	0	0	0	0	141	4	24	0	0	0	0
"d7b79"	101	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
"b24dd"	102	0	0	0	0	0	0	0	0	0	0	4	26	0	0	0	0
"0d8a9"	103	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0
"9cbdb"	104	53	0	0	0	0	0	0	0	0	0	21	37	0	0	0	0
"7454b"	105	0	4	0	0	0	0	0	0	0	0	0	6	99	49	230	0
"7f4a4"	106	0	0	0	0	0	0	0	0	0	0	0	0	532	0	104	20
"08cb2"	107	0	0	0	0	0	0	0	0	0	0	0	0	113	194	271	162
"cbefd"	108	0	23	0	0	0	0	0	0	0	0	7	127	0	0	0	0
"f13aa"	109	41	0	4	0	4	6	0	0	0	0	68	0	0	0	0	0
"3242a"	110	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
"ee373"	111	0	0	0	0	0	0	0	0	0	0	0	0	0	30	21	0
"44b82"	112	0	19	0	0	0	0	0	0	0	0	0	7	0	0	0	0
"48d60"	113	0	0	0	0	0	10	0	0	0	300	0	17	0	0	0	0
"ffc7e"	114	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
"fd7ae"	115	346	203	128	0	349	538	133	0	0	0	44	363	0	0	0	0
"a173a"	116	435	5	0	0	48	35	0	0	0	0	96	0	0	0	0	0
"8ff77"	117	0	0	0	0	0	0	0	0	0	0	0	0	7	28	0	0
"812d7"	118	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0
"d5b00"	119	46	0	0	0	12	8	0	9	0	0	8	0	0	0	0	0
"20ab6"	120	0	0	0	0	0	0	6	0	0	0	0	0	0	0	43	0
"87006"	121	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0
"08fea"	122	0	0	46	0	0	436	0	0	0	0	0	0	0	0	0	0
"297a3"	123	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0
"3bfb9"	124	0	0	118	206	0	197	0	0	0	0	14	0	0	0	0	0
"caea4"	125	0	0	0	0	0	0	0	0	0	0	0	0	322	2892	678	65
"0bf27"	126	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
"c02ec"	127	0	0	0	0	0	0	0	0	0	1531	0	0	0	0	0	0
