# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,Tiberias-Head-09-2017,Maayan1-09-2017,Ein7-09-2017,Fuliya4-09-2017,Tiberias-Head-01-2018,Tiberias-Pool-01-2018,Gesher-Hana-01-2018,Maayan1-01-2018,Ein7-01-2018,Fuliya4-01-2018,Tiberias-Pool-09-2018,Gesher-Hana-09-2018,Maayan1-09-2018,Ein7-09-2018,Fuliya4-09-2018,Tiberias-Head-01-2019,Tiberias-Pool-01-2019,Gesher-Hana-01-2019,Maayan1-01-2019,Ein7-01-2019,Fuliya4-01-2019,Tiberias-Head-06-2018,Tiberias-Pool-06-2018,Tiberias-Pool-09-2017,Gesher-Hana-09-2017,Nur-09-2017,Reference_Bacteria,Outgroup
L.bozemanae_LNXU01000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L.brunensis_Z32636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L.cherrii_Z49720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L.cicinatiensis_Z49721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L.drozanskii_NR036803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L.dumoffii_Z32637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L.erythra_Z32638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L.feeleii_EU153379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L.geestiana_Z49723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
L.gormanii_Z32639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
