"# Constructed from biom file"																										
"#OTU ID"	"Tiberias-Head-09-2017"	"Maayan1-09-2017"	"Ein7-09-2017"	"Fuliya4-09-2017"	"Tiberias-Head-01-2018"	"Tiberias-Pool-01-2018"	"Gesher-Hana-01-2018"	"Maayan1-01-2018"	"Ein7-01-2018"	"Fuliya4-01-2018"	"Tiberias-Pool-09-2018"	"Gesher-Hana-09-2018"	"Maayan1-09-2018"	"Ein7-09-2018"	"Fuliya4-09-2018"	"Tiberias-Head-01-2019"	"Tiberias-Pool-01-2019"	"Gesher-Hana-01-2019"	"Maayan1-01-2019"	"Ein7-01-2019"	"Fuliya4-01-2019"	"Tiberias-Head-06-2018"	"Tiberias-Pool-06-2018"	"Tiberias-Pool-09-2017"	"Gesher-Hana-09-2017"	"Nur-09-2017"
"ddf27"	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	7	0	0	0	0	0	0	0
"b750d"	0	12	11	0	0	0	0	34	28	0	0	0	102	0	0	0	0	21	0	0	0	0	0	0	28	49
"42a62"	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2a271"	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	167	766	0	0	0	0	0	0	0
"1d98a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0
"1a30c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0
"94a41"	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16182"	0	0	0	0	0	0	0	31	0	16	0	0	23	0	0	0	0	0	31	0	0	0	0	0	0	0
"570e8"	0	0	0	0	0	0	0	0	0	0	0	0	0	398	123	0	0	0	0	0	157	0	0	0	0	0
"249be"	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0
"d00ac"	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"a29d8"	0	0	0	0	448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"64fce"	0	0	0	0	0	0	0	0	0	1822	0	0	1057	0	1956	0	0	78	49	0	1086	0	0	0	0	0
"491fc"	0	0	33	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1d34a"	0	0	9	0	0	0	0	243	95	0	0	0	187	0	0	0	0	415	398	0	0	0	0	0	221	121
"4cb24"	0	0	0	0	0	0	0	111	0	175	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0
"4b70c"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0
"cd7d2"	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"52151"	0	0	0	0	3738	0	7914	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0
"46f5e"	0	0	0	0	0	0	0	50	0	0	0	0	82	0	0	0	0	0	123	0	0	0	0	0	0	0
