"Sample-name","Date","Month","Station","Year","Season","origin","environment","Legionella-count","Legionella-count-Log2","Legionella-count-Log10","Ph","Turbidity","Temp","TDP","TP","TN","TDN","Na","SO4","Fe","Nitrate","Cl","Conductivity","Origin-numeric"
"Fuliya1-Jan19","Jan19","Jan","Fuliya1",2019,"Winter","Fuliya","Biofilm",32726.61725,7.53138146051631,2.27,7.62,0.66,28,5.6,9.8,4.02,1.82,19,67,0.7,1.66,26.84,3380,1
"En Sheva-Sep17","Sep17","Sep","En Sheva",2017,"Autumn ","Tabgha","Biofilm",436.43675,10.9031286768123,3.28,7.36,1.18,25,,19.8,2.81,,24,,,,37,4480,2
"En Sheva-Jan18","Jan18","Jan","En Sheva",2018,"Winter","Tabgha","Biofilm",2790,13.2698571946549,3.99,7.91,1.91,23,35.5,54.2,6.19,6.01,7,34,5.4,5.68,11.3,1795,2
"En Sheva-Jun18","Jun18","Jun","En Sheva",2018,"Summer","Tabgha","Biofilm",151.375,8.97441458980553,2.7,7.74,1.57,24,24.2,21.5,4.43,3.83,21,85,18.9,4.31,31.59,4030,2
"En Sheva-Oct18","Oct18","Oct","En Sheva",2018,"Autumn ","Tabgha","Biofilm",1874.50625,12.7262181593322,3.83,7.22,0.82,25,12.6,16,4.44,4.03,25,100,3.2,2.96,37.29,4500,2
"En Sheva-Jan19","Jan19","Jan","En Sheva",2019,"Winter","Tabgha","Biofilm",11970.93075,13.0615399585301,3.93,7.16,5.88,23,20.4,45.5,6.34,5.59,7,39,0.2,4.95,11.07,1775,2
"Maayan1-Sep17","Sep17","Sep","Maayan1",2017,"Autumn ","Tabgha","Biofilm",8193.26825,11.8792003179474,3.58,7.42,1.22,29,,17,2.22,,25,,,,37.62,4460,2
"Maayan1-Jan18","Jan18","Jan","Maayan1",2018,"Winter","Tabgha","Biofilm",37450,12.532599438673,3.77,7.69,3.81,23,6.4,20.6,3.69,3.65,16,58,3.4,2.97,24.95,3310,2
"Maayan1-Jun18","Jun18","Jun","Maayan1",2018,"Summer","Tabgha","Biofilm",2680,11.8415643477306,3.56,7.43,2.01,24,25.3,36,4.34,4.22,21,86,16.9,4.25,32.23,4170,2
"Maayan1-Oct18","Oct18","Oct","Maayan1",2018,"Autumn ","Tabgha","Biofilm",20229.36675,14.0423433797937,4.23,7.19,27.8,25,15.8,26.9,4.3,4.2,25,102,4.5,2.84,38.56,4670,2
"Maayan1-Jan19","Jan19","Jan","Maayan1",2019,"Winter","Tabgha","Biofilm",28089.70775,13.4127021495281,4.04,7.09,2.92,23.5,24.1,33.4,6.18,5.77,8,45,3.8,5.24,12.38,1927,2
"Gesher-hana-Sep17","Sep17","Sep","Gesher-hana",2017,"Autumn ","Tabgha","Biofilm",5301.328,11.9603640088778,3.6,7.89,2.21,26,,18.3,2.4,,24,,,,37.08,4430,2
"Gesher-hana-Jan18","Jan18","Jan","Gesher-hana",2018,"Winter","Tabgha","Biofilm",5330,12.7148894342315,3.83,7.13,2.59,23,7.2,13.4,3.34,1.94,18,66,9.9,1.54,27.39,3500,2
"Gesher-hana-Jun18","Jun18","Jun","Gesher-hana",2018,"Summer","Tabgha","Biofilm",306,11.5665297826242,3.48,8.18,1.44,25,18.2,24.6,4.34,4.33,21,82,7.1,4.26,31.61,4100,2
"Gesher-hana-Oct18","Oct18","Oct","Gesher-hana",2018,"Autumn ","Tabgha","Biofilm",1844.23225,14.5717526435035,4.39,7.61,11.1,25,10.6,41.5,4.64,4,25,95,7.7,2.81,37.94,4530,2
"Gesher-hana-Jan19","Jan19","Jan","Gesher-hana",2019,"Winter","Tabgha","Biofilm",22544.912,12.2726297849764,3.69,7.82,5.04,22,32.2,43.2,6.28,3.94,7,36,1.6,3.64,11.23,1780,2
"Tiberias-head-Sep17","Sep17","Sep","Tiberias-head",2017,"Autumn ","Tiberias Hot Springs","Biofilm",79335.201,16.9325608022233,5.1,6.51,8.83,59,,24.6,9.44,,291,,,,520.21,46600,3
"Tiberias-head-Jan18","Jan18","Jan","Tiberias-head",2018,"Winter","Tiberias Hot Springs","Biofilm",123550,9.73131903102506,2.93,6.06,0.71,56,8.7,8.7,3.62,2.15,273,584,157,0.05,487.24,45900,3
"Tiberias-head-Jun18","Jun18","Jun","Tiberias-head",2018,"Summer","Tiberias Hot Springs","Biofilm",24466.6666666667,11.3134499409631,3.41,6.61,0.9,59,19.9,21.7,5.77,3.87,283,537,253.4,0.02,505.4,46600,3
"Tiberias-head-Oct18","Oct18","Oct","Tiberias-head",2018,"Autumn ","Tiberias Hot Springs","Biofilm",13228.8795,10.4777582664439,3.15,6.36,0.81,58.5,12,12.6,9.89,7.54,291,761,146.3,0.02,519.83,46900,3
"Tiberias-head-Jan19","Jan19","Jan","Tiberias-head",2019,"Winter","Tiberias Hot Springs","Biofilm",93604.4585,5.32192809488736,1.6,6.49,0.79,58,6.8,7,33.73,17.21,286,698,86.2,0.05,509.9,45700,3
"Tiberias-pool-Sep17","Sep17","Sep","Tiberias-pool",2017,"Autumn ","Tiberias Hot Springs","Biofilm",8033.6225,16.3049929472201,4.91,6.97,1.32,46,,20.6,7.71,,294,,,,525.37,47900,3
"Tiberias-pool-Jan18","Jan18","Jan","Tiberias-pool",2018,"Winter","Tiberias Hot Springs","Biofilm",6220,15.3268507734564,4.61,7.02,5.38,40,9,16,3.85,2.02,286,621,15.3,0.82,511.42,46800,3
"Tiberias-pool-Jun18","Jun18","Jun","Tiberias-pool",2018,"Summer","Tiberias Hot Springs","Biofilm",20325,14.6424466195201,4.41,6.98,1.26,45,19,22.7,6.15,5.76,293,572,5,0.11,523.38,46800,3
"Tiberias-pool-Oct18","Oct18","Oct","Tiberias-pool",2018,"Autumn ","Tiberias Hot Springs","Biofilm",17215.668,16.0827311924087,4.84,6.91,1.26,44,11.3,16.3,8.35,6.04,305,813,6,0.02,544.65,48400,3
"Tiberias-pool-Jan19","Jan19","Jan","Tiberias-pool",2019,"Winter","Tiberias Hot Springs","Biofilm",278586.057,17.269802418821,5.2,7.27,0.78,39,8.7,8.7,36.22,16.87,304,662,10,0.15,543.13,47500,3
