"Sample-name","Date","Month","Station","Year","Season","origin","environment","Legionella-count","Legionella-count-Log2","Legionella-count-Log10","Ph","Turbidity","Temp","TDP","TP","TN","TDN","Na","SO4","Fe","Nitrate","Cl","Conductivity","Origin-numeric","Legionella-count-old"
"Fuliya2-Sep17","Sep17","Sep","Fuliya2",2017,"Autumn ","Fuliya","Water",2620,11.429406741514,3.44,7.16,1.23,30,,20.6,3,,21,,,,29.07,3630,1,2758
"Fuliya2-Jan18","Jan18","Jan","Fuliya2",2018,"Winter","Fuliya","Water",3127,11.610563503925,3.5,7.49,1.31,29,7.3,13.5,4.13,4.1,24,119,5.8,2.3,33.38,4250,1,3127
"Fuliya2-Jun18","Jun18","Jun","Fuliya2",2018,"Summer","Fuliya","Water",1958,10.9351650496037,3.29,7.65,0.82,30,10.2,12,4.3,4.14,25,138,3.3,3.43,34.12,4410,1,1958
"Fuliya2-Oct18","Oct18","Oct","Fuliya2",2018,"Autumn ","Fuliya","Water",3203,11.6452080827747,3.51,7.55,0.92,29,4.8,9,5.06,4.74,21,128,3.8,3.59,29.56,3720,1,3203
"Fuliya2-Jan19","Jan19","Jan","Fuliya2",2019,"Winter","Fuliya","Water",,,,,,,,,,,,,,,,,1,
"Fuliya1-Sep17","Sep17","Sep","Fuliya1",2017,"Autumn ","Fuliya","Water",387,8.74819284958946,2.63,7,0.78,29,,21.7,3.69,,17,,,,23.92,3150,1,430
"Fuliya1-Jan18","Jan18","Jan","Fuliya1",2018,"Winter","Fuliya","Water",345,8.43045255166553,2.54,7.15,0.61,28,9.7,12.5,4.83,4.61,17,80,3.9,3.08,24.02,3230,1,345
"Fuliya1-Jun18","Jun18","Jun","Fuliya1",2018,"Summer","Fuliya","Water",48,5.58496250072116,1.68,7.78,0.64,28,10.7,14.3,5.23,5,19,105,7.9,4.9,26.16,3460,1,48
"Fuliya1-Oct18","Oct18","Oct","Fuliya1",2018,"Autumn ","Fuliya","Water",171,7.4178525148859,2.23,7.4,0.66,27.5,5.4,10.5,5.71,3.94,17,74,5.8,2.94,23.24,3060,1,171
"Fuliya1-Jan19","Jan19","Jan","Fuliya1",2019,"Winter","Fuliya","Water",185,7.53138146051631,2.27,7.62,0.66,28,5.6,9.8,4.02,1.82,19,67,0.7,1.66,26.84,3380,1,185
"En Sheva-Sep17","Sep17","Sep","En Sheva",2017,"Autumn ","Tabgha","Water",1800,10.9031286768123,3.28,7.36,1.18,25,,19.8,2.81,,24,,,,37,4480,2,1915
"En Sheva-Jan18","Jan18","Jan","En Sheva",2018,"Winter","Tabgha","Water",9877,13.2698571946549,3.99,7.91,1.91,23,35.5,54.2,6.19,6.01,7,34,5.4,5.68,11.3,1795,2,9877
"En Sheva-Jun18","Jun18","Jun","En Sheva",2018,"Summer","Tabgha","Water",503,8.97441458980553,2.7,7.74,1.57,24,24.2,21.5,4.43,3.83,21,85,18.9,4.31,31.59,4030,2,503
