"sampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"collection-date"	"SampleID-new"	"Barplot-name-rev"	"yaer"	"month"	"sample-name-sequencing-centre"	"sequencing-centre"	"new-sample-Ids"	"sequancing-run"	"result"	"station"	"barplot-name"	"origin"	"origin_new"	"environment"	"DEPTH"	"amplicon"	"primers"	"DNA-extraction"	"DNA-conc"	"temperature"	"pH"	"turbidity"	"conductivity"	"TN"	"TP"	"Na"
"Nur_01_2018_W"			"01-2018"	"10W-811"	"10W-118"	2018	"Jan"	"Oded080_10W_0118"	"UIC"	"10W-118"	"10-2020"	"work"	"Nur"	"Nur 01-2018"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	1.68	26	7.41	1.63	5070	3.04	18.5	37.05
"Maayan1_01_2018_W"			"01-2018"	"9W-811"	"9W-118"	2018	"Jan"	"Oded081_9W_0118"	"UIC"	"9W-118"	"10-2020"	"work"	"Maayan1"	"Maayan1 01-2018"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	1.16	23	7.69	3.81	3310	3.69	20.6	21.27
"Ein7_01_2018_W"			"01-2018"	"6W-811"	"6W-118"	2018	"Jan"	"Oded082_6W0118"	"UIC"	"6W-118"	"10-2020"	"work"	"Ein7"	"Ein7 01-2018"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	1.38	23	7.91	1.91	1795	6.19	54.2	20.85
"Fuliya4_01_2018_W"			"01-2018"	"5W-811"	"181-5w"	2018	"Jan"	"Oded083_5W_0118"	"UIC"	"5W-118"	"10-2020"	"work"	"Fuliya4"	"Fuliya4 01-2018"	"Fulia"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	2.6	26	7.35	1.88	3490	4.06	11.6	19.58
"Barbutim_09_2018_W"			"09-2018"	"8W-819"	"8W-918"	2018	"Sep"	"Oded090_8w_0918"	"UIC"	"8W-918"	"10-2020"	"work"	"Barbutim"	"Barbutim 09-2018"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	2.12	27	7.16	0.93	4280	1.22	12.4	22.35
"Haon_09_2018_W"			"09-2018"	"16W-819"	"16W-918"	2018	"Sep"	"Oded091_16w_0918"	"UIC"	"16W-918"	"10-2020"	"work"	"Haon"	"Haon 09-2018"	"Haon"	"Haon"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	3.82	26	7.16	6.18	13410	5.97	41.9	87.34
"Tiberias_Head_09_2018_W"			"09-2018"	"12W-819"	"12W-918"	2018	"Sep"	"Oded092_12w_0918"	"UIC"	"12W-918"	"10-2020"	"work"	"Tiberias Head"	"Tiberias Head 09-2018"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	1.03	58.5	6.36	0.81	46900	9.89	12.6	282.79
"Tiberias_Pump_09_2018_W"			"09-2018"	"13W-819"	"13W-918"	2018	"Sep"	"Oded093_13w_0918"	"UIC"	"13W-918"	"10-2020"	"work"	"Tiberias Pump"	"Tiberias Pump 09-2018"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	3.5	49	6.92	2.91	43000	9.38	30.6	250.99
"Tiberias_Pool_09_2018_W"			"09-2018"	"14W-819"	"14W-918"	2018	"Sep"	"Oded094_14W_0918"	"UIC"	"14W-918"	"10-2020"	"work"	"Tiberias Pool"	"Tiberias Pool 09-2018"	"Hamei-tveria"	"Tiberias Hot Springs"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	3.46	44	6.91	1.26	48400	8.35	16.3	296.29
"Gesher_hana_09_2018_W"			"09-2018"	"11W-819"	"11W-918"	2018	"Sep"	"Oded095_11W_0918"	"UIC"	"11W-918"	"10-2020"	"work"	"Gesher hana"	"Gesher hana 09-2018"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	8.18	25	7.61	11.1	4530	4.64	41.5	24.85
"Nur_09_2018_W"			"09-2018"	"10W-819"	"10W-918"	2018	"Sep"	"Oded096_10W_0918"	"UIC"	"10W-918"	"10-2020"	"work"	"Nur"	"Nur 09-2018"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	2.86	27	7.03	2.56	7850	3.5	20	46.71
"Maayan1_09_2018_W"			"09-2018"	"9W-819"	"9W-918"	2018	"Sep"	"Oded097_9W_0918"	"UIC"	"9W-918"	"10-2020"	"work"	"Maayan1"	"Maayan1 09-2018"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	8.02	25	7.19	27.8	4670	4.3	26.9	25.45
"Ein7_09_2018_W"			"09-2018"	"6W-819"	"6W-918"	2018	"Sep"	"Oded098_6W0918"	"UIC"	"6W-918"	"10-2020"	"work"	"Ein7"	"Ein7 09-2018"	"Tabha"	"Tabgha-Fuliya"	"Water"	"0m"	"16S-V3V4-Legionella"	"Lgsp17F-Lgsp28R"	"Power-Water"	1.75	25	7.22	0.82	4500	4.44	16	24.61
