"#_Constructed_from_biom_file"																										
"#OTU_ID"	"Tiberias_Head_09_2017"	"Maayan1_09_2017"	"Ein7_09_2017"	"Fuliya4_09_2017"	"Tiberias_Head_01_2018"	"Tiberias_Pool_01_2018"	"Gesher_hana_01_2018"	"Maayan1_01_2018"	"Ein7_01_2018"	"Fuliya4_01_2018"	"Tiberias_Pool_09_2018"	"Gesher_hana_09_2018"	"Maayan1_09_2018"	"Ein7_09_2018"	"Fuliya4_09_2018"	"Tiberias_Head_01_2019"	"Tiberias_Pool_01_2019"	"Gesher_hana_01_2019"	"Maayan1_01_2019"	"Ein7_01_2019"	"Fuliya4_01_2019"	"Tiberias_Head_06_2018"	"Tiberias_Pool_06_2018"	"Tiberias_Pool_09_2017"	"Gesher_hana_09_2017"	"Nur_09_2017"
"be50d"	0	0	0	0	0.003867143734866	0	0	0	0	0	0	0	0	0	0	0.016248877276068	0.59577677224736	0	0	0	0	0	0	0	0	0
"7dba2"	0.053682896379526	0	0	0	0.028316888937078	0.211637010676157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"e5746"	0	0.178571428571429	0	0.017045454545455	0	0	0	0.380373831775701	0	0.020033082154016	0	0	0.045351307788116	0	0.004341490072257	0	0	0.022037996545769	0.078545600642829	0	0.015367316341829	0	0	0	0.041463414634146	0
"b64b8"	0	0	0	0	0	0	0	0	0.007889237199582	0	0	0	0	0.237545005442519	0	0	0	0	0	0	0	0	0	0	0	0
"4d2fe"	0	0	0	0	0.055694098088113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014104778353483	0	0	0	0
"49fe1"	0	0	0	0	0.129639668943583	0.677064056939502	0	0	0	0	1	0	0	0	0	0.81677145423369	0.404223227752639	0	0	0	0	0.667530224525043	0.598433702403457	1	0	0
"a42cd"	0.652933832709114	0.228571428571429	0.055198973042362	0.028409090909091	0.002710614767429	0.046423487544484	0	0	0	0	0	0	0	0	0	0.031109659508451	0	0	0	0	0	0.150834772596431	0	0	0	0
"3f2a2"	0	0	0	0	0	0	0	0.116822429906542	0.004754440961338	0.097469827850273	0	0	0.052824382738662	0	0.012326188596758	0	0	0.051744386873921	0.027721976697469	0	0.076461769115442	0	0	0	0.058536585365854	0
"212da"	0	0	0	0.458333333333333	0	0	0	0	0.194827586206897	0.015193285548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9f859"	0	0	0.011553273427471	0	0	0	0	0	0	0.019788029161306	0	0.720189701897019	0	0.03564151943956	0	0	0	0.006148531951641	0	0.287833303902525	0	0	0	0	0.226829268292683	0.625
"72795"	0.123595505617978	0	0.120667522464698	0	0.144023997976074	0.035195729537367	0	0	0.007314524555904	0	0	0.081978319783198	0	0	0	0.018698456764922	0	0	0	0	0	0.030512377662637	0	0	0	0
"64fce"	0	0	0	0	0	0	0	0	0	0.111621638179256	0	0	0.077441570811049	0	0.059384297771571	0	0	0.005388601036269	0.001640551761082	0	0.407046476761619	0	0	0	0	0
"fce1d"	0	0	0	0.011363636363636	0	0	0	0	0	0.00735158978129	0	0	0	0	0.002185925071346	0	0	0	0	0.290393784213314	0	0	0	0	0	0
"88adc"	0.169787765293383	0	0	0	0.047977881383498	0.029679715302491	0	0	0	0	0	0	0	0	0	0.02686372172777	0	0	0	0	0	0.020149683362119	0.401566297596543	0	0	0
"28641"	0	0	0	0.034090909090909	0	0	0	0	0.047230929989551	0.031673099307725	0	0	0	0.088587457087834	0.038678729734653	0	0	0	0	0	0	0	0	0	0	0
"9743a"	0	0	0	0.058712121212121	0	0	0	0	0.003866248693835	0.413036819212155	0	0.073170731707317	0	0	0	0	0	0.064041450777202	0	0	0	0	0	0	0	0
"4adde"	0	0	0	0.056818181818182	0	0	0	0	0	0.024811615511855	0	0	0.301780350208806	0	0	0	0	0.201243523316062	0.255156019820544	0	0	0	0	0	0.126829268292683	0
"086ec"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177029570708604	0	0	0	0	0	0	0	0	0	0	0
"e92a2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.085858279191208	0	0	0	0	0	0	0	0	0	0	0
"b52cb"	0	0	0	0	0.095576276699556	0	0	0	0	0	0	0	0	0	0	0.037805176777987	0	0	0	0	0	0.027921704087507	0	0	0	0
"a5ec2"	0	0	0	0	0	0	0	0.070093457943925	0	0	0	0	0	0	0.005616613030542	0	0	0.007115716753022	0.046337217088523	0.013243863676497	0.042353823088456	0	0	0	0	0.375
"976a1"	0	0.071428571428572	0.200256739409499	0	0	0	0	0	0	0.026404459964467	0	0	0.01890248369844	0	0.003400327888761	0	0	0.038411053540587	0.087116646578278	0	0.364692653673163	0	0	0	0.014634146341464	0
"0ba5b"	0	0	0.03209242618742	0	0	0	0	0	0.007105538140021	0	0	0	0	0.514024951854643	0	0	0	0	0	0	0	0	0	0	0	0
"8cbe4"	0	0	0.155327342747112	0	0	0	0	0	0.036415882967607	0	0	0	0	0	0	0	0	0.095958549222798	0	0	0	0	0	0	0	0
"a3487"	0	0	0	0	0.099696411146048	0	0	0	0	0	0	0	0	0	0	0.020739773005634	0	0	0	0	0	0.032815198618308	0	0	0	0
"83414"	0	0.214285714285714	0.13607188703466	0.090909090909091	0	0	0	0	0.017084639498433	0.011885070146419	0	0	0.204044252326178	0	0.170289635071953	0	0	0	0.003515468059462	0	0.010494752623688	0	0	0	0.060975609756098	0
"52151"	0	0	0	0	0.067548520004337	0	1	0	0	0	0	0	0	0	0	0.005144116926594	0	0	0	0	0	0	0	0	0	0
