# Constructed from biom file
#OTU ID	Tiberias_Head_09_2017	Tiberias_Pump_09_2017	Tiberias_Pool_09_2018	Tiberias_Pool_01_2019	Tiberias_Pool_06_2018	Tiberias_Pool_01_2018	Tiberias_Head_09_2018	Tiberias_Head_01_2019	Tiberias_Head_06_2018	Tiberias_Pump_01_2019	Tiberias_Pump_09_2018	Tiberias_Pump_01_2018	Haon_01_2019	Haon_09_2017	Haon_01_2018	Haon_09_2018	Nur_09_2018	Nur_09_2017	Nur_01_2019	Nur_01_2018	Maayan1_09_2017	Gesher_hana_09_2017	Barbutim_01_2019	Maayan1_09_2018	Gesher_hana_09_2018	Ein7_09_2018	Barbutim_09_2018	Barbutim_01_2018	Maayan1_01_2018	Fuliya4_01_2019	Ein7_01_2018	Gesher_hana_01_2018	Fuliya4_09_2017	Fuliya4_01_2018	Barbutim_09_2017	Ein7_09_2017	Fuliya4_09_2018	Maayan1_01_2019	Gesher_hana_01_2019	Ein7_01_2019
e1f8e32835db1e8e6ff038904f79d0c8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d5959731a101b3f59e7a872cb9e9f5db	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4182fd6d092d9258de60582bea98e117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
bbb6859b6c45fa593ff6a122e9a4c3bf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
963540a44cad918f59ec09d52d37de23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	71.0	51.0	0.0	0.0	0.0
0b60c3468174e3c78ca6d8fd75051a60	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	152.0	0.0	0.0	0.0	0.0
3a13a4204d7bb7f2d97e7c25e7b13c5e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
984295a1dd21314077a52d8ab4a0e393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
90c29bd074c1d11043446a13db254404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	2798.0	0.0	0.0	0.0	0.0	20.0	11.0	0.0	0.0	0.0	0.0	68.0	0.0
f39229565ea07934c9037d8b30e00ffa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
