"#_Constructed_from_biom_file"																																								
"#OTU_ID"	"Barbutim_09_2017"	"Haon_09_2017"	"Tiberias_Head_09_2017"	"Maayan1_09_2017"	"Ein7_09_2017"	"Fuliya4_09_2017"	"Tiberias_Pump_09_2017"	"Gesher_hana_09_2017"	"Nur_09_2017"	"Barbutim_01_2018"	"Haon_01_2018"	"Tiberias_Pump_01_2018"	"Tiberias_Pool_01_2018"	"Gesher_hana_01_2018"	"Nur_01_2018"	"Maayan1_01_2018"	"Ein7_01_2018"	"Fuliya4_01_2018"	"Barbutim_09_2018"	"Haon_09_2018"	"Tiberias_Head_09_2018"	"Tiberias_Pump_09_2018"	"Tiberias_Pool_09_2018"	"Gesher_hana_09_2018"	"Nur_09_2018"	"Maayan1_09_2018"	"Ein7_09_2018"	"Fuliya4_09_2018"	"Barbutim_01_2019"	"Haon_01_2019"	"Tiberias_Head_01_2019"	"Tiberias_Pump_01_2019"	"Tiberias_Pool_01_2019"	"Gesher_hana_01_2019"	"Nur_01_2019"	"Maayan1_01_2019"	"Ein7_01_2019"	"Fuliya4_01_2019"	"Tiberias_Head_06_2018"	"Tiberias_Pool_06_2018"
"d1b7f"	0	0.021910604732691	0	0	0	0	0	0	0	0	0.058461746417951	0.033367201788255	0	0	0	0	0	0	0	0.012976947095688	0	0.248136429452459	0	0	0	0	0	0	0	0.049580650626906	0	0	0	0	0	0	0	0	0	0
"e3fd1"	0	0	0	0	0	0	0	0	0.245810055865922	0	0	0	0	0	0	0.103683492496589	0	0	0	0	0	0	0	0	0.110606060606061	0	0	0	0	0	0	0	0	0	0.002690238278248	0	0	0	0	0
"aadc9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009755252828446	0	0.044252541112305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02388928067701	0.023772921928187	0.030446862699699	0.025400981996727	0	0	0
"d9886"	0	0	0	0.020531400966184	0.022486772486773	0	0	0	0	0	0	0.002601097337939	0	0.024813895781638	0.123585776956823	0.049795361527967	0	0	0	0	0	0.004075722636349	0	0	0	0	0	0	0	0	0	0	0	0.008727080394922	0.004007906006369	0.010592729798565	0.008379705400982	0	0	0
"cfa64"	0	0	0	0	0	0	0.152542372881356	0	0	0	0	0.381385897175371	0	0	0	0	0	0	0	0	0	0.004451118142329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7dba2"	0	0	0.021899808376677	0	0	0	0	0	0	0	0	0.010079252184515	0.101220211284907	0	0	0	0	0	0	0	0	0.056577465544055	0.026071413896536	0	0	0	0	0	0	0	0	0	0.057009215949613	0	0	0	0	0	0	0
"e5746"	0.002469690166143	0	0	0.064412238325282	0.079365079365079	0.08991825613079	0	0.038910505836576	0.463687150837989	0.000466386834566	0	0	0	0.025062034739454	0.01731701685523	0.026603001364257	0.001900669366168	0.07923875432526	0.004035057271781	0	0	0	0	0.005964882802655	0.060750360750361	0.115629215648487	0.005156115726153	0.002083126673941	0.002434739729405	0	0	0	0	0.011900564174894	0	0.014818244964112	0.003535188216039	0.010183727034121	0	0
"49fe1"	0	0	0.001642485628251	0	0	0	0	0	0	0	0	0.221255842308474	0.211612480550323	0	0	0	0	0	0	0	1	0.026009545771438	0.624727780745367	0	0	0	0	0	0	0	0	0	0.563909600333441	0	0	0	0	0	0	0.44332332843732
"1d34a"	0	0	0	0	0.123015873015873	0	0	0.147859922178988	0	0	0	0	0	0.121339950372208	0	0	0.001528799272787	0	0	0	0	0	0	0.090481391245904	0	0	0.003867086794615	0	0	0	0	0	0	0.005465444287729	0.001976501592182	0	0	0	0.093685085168259	0
"6f807"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.642894598846356	0	0.001528273051452	0	0	0	0	0	0	0
