"feature_ID"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"de494"	"de494"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6ee4d"	"6ee4d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4a811"	"4a811"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2b934"	"2b934"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"389ea"	"389ea"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9291e"	"9291e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9d305"	"9d305"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f93ff"	"f93ff"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d8897"	"d8897"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"aefbc"	"aefbc"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"62715"	"62715"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"28875"	"28875"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a7447"	"a7447"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7454b"	"7454b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b900c"	"b900c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f5043"	"f5043"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"48d60"	"48d60"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5ef89"	"5ef89"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"bd959"	"bd959"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"83669"	"83669"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"61bc5"	"61bc5"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4320b"	"4320b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"98506"	"98506"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9840e"	"9840e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"04814"	"04814"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"722d2"	"722d2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"89172"	"89172"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a3504"	"a3504"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9347f"	"9347f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"3ead1"	"3ead1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5ecce"	"5ecce"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"3242a"	"3242a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d8152"	"d8152"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"b9e24"	"b9e24"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"32a14"	"32a14"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"55156"	"55156"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c7a7b"	"c7a7b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c9e28"	"c9e28"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"26fd0"	"26fd0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"61b1c"	"61b1c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"00ffa"	"00ffa"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"571b9"	"571b9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"05fba"	"05fba"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2337a"	"2337a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"86dbe"	"86dbe"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9cbdb"	"9cbdb"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"bf741"	"bf741"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"a983a"	"a983a"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"051be"	"051be"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"84219"	"84219"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"51a60"	"51a60"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"64c58"	"64c58"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7de23"	"7de23"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"89c86"	"89c86"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f6e0f"	"f6e0f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"bd344"	"bd344"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f93cd"	"f93cd"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ad56d"	"ad56d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6b11c"	"6b11c"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"bad9b"	"bad9b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d7cd9"	"d7cd9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"8b85e"	"8b85e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"7be9e"	"7be9e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"e6e5f"	"e6e5f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0d8a9"	"0d8a9"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"50183"	"50183"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"68465"	"68465"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9ff03"	"9ff03"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"fc255"	"fc255"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"f3310"	"f3310"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"790a5"	"790a5"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"541be"	"541be"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"20ab6"	"20ab6"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"8c1eb"	"8c1eb"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4affb"	"4affb"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d936f"	"d936f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"bb958"	"bb958"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"795fe"	"795fe"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"62f84"	"62f84"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"6fd00"	"6fd00"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"293e1"	"293e1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0b2f8"	"0b2f8"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"0ab5d"	"0ab5d"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"4406b"	"4406b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"eeb3e"	"eeb3e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"13121"	"13121"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"5738e"	"5738e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"25466"	"25466"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ed27b"	"ed27b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"27a48"	"27a48"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"d51d1"	"d51d1"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"76b4f"	"76b4f"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1db08"	"1db08"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"141d0"	"141d0"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1b1cd"	"1b1cd"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"104af"	"104af"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"60816"	"60816"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"297a3"	"297a3"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"11bec"	"11bec"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ebd44"	"ebd44"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"10438"	"10438"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"81382"	"81382"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c9c45"	"c9c45"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"ce241"	"ce241"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"9d0c8"	"9d0c8"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"1381b"	"1381b"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"2a1ae"	"2a1ae"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"c7e4e"	"c7e4e"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
"81928"	"81928"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
