SampleID,BarcodeSequence,LinkerPrimerSequence,collection-date,Barplot-name-rev,SampleID-new,yaer,month,sample-name-sequencing-centre,sequencing-centre,new-sample-Ids,sequancing-run,result,station,Station-date,barplot.name,origin,origin_new,environment,DEPTH,amplicon,primers,DNA-extraction,DNA-conc,temperature,pH,turbidity,conductivity,TN,TP,Na,bar.plot.fin.name
12W-811,,,01-2018,12W-811,12W-118,2018,Jan,Oded076_12w_0118,UIC,12W-118,10-2020,fail,Tiberias Head,Tiberias Head 811,Tiberias Head 01-2018 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,10.8,56,6.06,0.71,45900,3.62,8.7,274.94,Haon 09-2018
13W-811,,,01-2018,13W-811,13W-118,2018,Jan,Oded077_13w_0118,UIC,13W-118,10-2020,work,Tiberias Pump,Tiberias Pump 811,Tiberias Pump 01-2018 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,4.96,39,6.69,5.86,37600,2.18,60.7,219.13,Haon 01-2019
14W-811,,,01-2018,14W-811,14W-118,2018,Jan,Oded078_14W_0118,UIC,14W-118,10-2020,fail,Tiberias Pool,Tiberias Pool 811,Tiberias Pool 01-2018 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,9.48,40,7.02,5.38,46800,3.85,16,284.72,Barbutim 09-2017
11W-811,,,01-2018,11W-811,11W-118,2018,Jan,Oded079_11W_0118,UIC,11W-118,10-2020,work,Gesher hana,Gesher hana 811,Gesher hana 01-2018 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,3.91,23,7.13,2.59,3500,3.34,13.4,20.7,Barbutim 01-2018
10W-811,,,01-2018,10W-811,10W-118,2018,Jan,Oded080_10W_0118,UIC,10W-118,10-2020,work,Nur,Nur 811,Nur 01-2018 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,1.68,26,7.41,1.63,5070,3.04,18.5,37.05,Barbutim 09-2018
9W-811,,,01-2018,9W-811,9W-118,2018,Jan,Oded081_9W_0118,UIC,9W-118,10-2020,work,Maayan1,Maayan1 811,Maayan1 01-2018 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,1.16,23,7.69,3.81,3310,3.69,20.6,21.27,Barbutim 01-2019
6W-811,,,01-2018,6W-811,6W-118,2018,Jan,Oded082_6W0118,UIC,6W-118,10-2020,work,Ein7,Ein7 811,Ein7 01-2018 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,1.38,23,7.91,1.91,1795,6.19,54.2,20.85,Ein7 09-2017
5W-811,,,01-2018,5W-811,181-5w,2018,Jan,Oded083_5W_0118,UIC,5W-118,10-2020,work,Fuliya4,Fuliya4 811,Fuliya4 01-2018 (W),Fulia,Fuliya,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,2.6,26,7.35,1.88,3490,4.06,11.6,19.58,Ein7 01-2018
12B-811,,,01-2018,12B-811,12B-118,2018,Jan,Oded084_12B_0118,UIC,12B-118,10-2020,work,Tiberias Head,Tiberias Head 811,Tiberias Head 01-2018 (B),Hamei-tveria,Tiberias Hot Springs,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,22.2,56,6.06,0.71,45900,3.62,8.7,274.94,Ein7 09-2018
14B-811,,,01-2018,14B-811,14B-118,2018,Jan,Oded085_14B_0118,UIC,14B-118,10-2020,work,Tiberias Pool,Tiberias Pool 811,Tiberias Pool 01-2018 (B),Hamei-tveria,Tiberias Hot Springs,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,3.8,40,7.02,5.38,46800,3.85,16,284.72,Ein7 01-2019
11B-811,,,01-2018,11B-811,11B-118,2018,Jan,Oded086_11B_0118,UIC,11B-118,10-2020,work,Gesher hana,Gesher hana 811,Gesher hana 01-2018 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,7.9,23,7.13,2.59,3500,3.34,13.4,20.7,Gesher Hana 09-2017
9B-811,,,01-2018,9B-811,9B-118,2018,Jan,Oded087_9B_0118,UIC,9B-118,10-2020,work,Maayan1,Maayan1 811,Maayan1 01-2018 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,29.4,23,7.69,3.81,3310,3.69,20.6,21.27,Gesher Hana 01-2018
6B-811,,,01-2018,6B-811,6B-118,2018,Jan,Oded088_6B_0118,UIC,6B-118,10-2020,work,Ein7,Ein7 811,Ein7 01-2018 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,7.2,23,7.91,1.91,1795,6.19,54.2,20.85,Gesher Hana 09-2018
5B-811,,,01-2018,5B-811,5B-118,2018,Jan,Oded089_5B_0118,UIC,5B-118,10-2020,work,Fuliya4,Fuliya4 811,Fuliya4 01-2018 (B),Fulia,Fuliya,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,25.2,26,7.35,1.88,3490,4.06,11.6,19.58,Gesher Hana 01-2019
8W-819,,,09-2018,8W-819,8W-918,2018,Sep,Oded090_8w_0918,UIC,8W-918,10-2020,work,Barbutim,Barbutim 819,Barbutim 09-2018 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,2.12,27,7.16,0.93,4280,1.22,12.4,22.35,Maayan1 09-2017
16W-819,,,09-2018,16W-819,16W-918,2018,Sep,Oded091_16w_0918,UIC,16W-918,10-2020,work,Haon,Haon 819,Haon 09-2018 (W),Haon,Haon,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,3.82,26,7.16,6.18,13410,5.97,41.9,87.34,Maayan1 01-2018
12W-819,,,09-2018,12W-819,12W-918,2018,Sep,Oded092_12w_0918,UIC,12W-918,10-2020,work,Tiberias Head,Tiberias Head 819,Tiberias Head 09-2018 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,1.03,58.5,6.36,0.81,46900,9.89,12.6,282.79,Maayan1 09-2018
13W-819,,,09-2018,13W-819,13W-918,2018,Sep,Oded093_13w_0918,UIC,13W-918,10-2020,work,Tiberias Pump,Tiberias Pump 819,Tiberias Pump 09-2018 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,3.5,49,6.92,2.91,43000,9.38,30.6,250.99,Maayan1 01-2019
14W-819,,,09-2018,14W-819,14W-918,2018,Sep,Oded094_14W_0918,UIC,14W-918,10-2020,work,Tiberias Pool,Tiberias Pool 819,Tiberias Pool 09-2018 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,3.46,44,6.91,1.26,48400,8.35,16.3,296.29,Nur 09-2017
11W-819,,,09-2018,11W-819,11W-918,2018,Sep,Oded095_11W_0918,UIC,11W-918,10-2020,work,Gesher hana,Gesher hana 819,Gesher hana 09-2018 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,8.18,25,7.61,11.1,4530,4.64,41.5,24.85,Nur 01-2018
10W-819,,,09-2018,10W-819,10W-918,2018,Sep,Oded096_10W_0918,UIC,10W-918,10-2020,work,Nur,Nur 819,Nur 09-2018 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,2.86,27,7.03,2.56,7850,3.5,20,46.71,Nur 09-2018
9W-819,,,09-2018,9W-819,9W-918,2018,Sep,Oded097_9W_0918,UIC,9W-918,10-2020,work,Maayan1,Maayan1 819,Maayan1 09-2018 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,8.02,25,7.19,27.8,4670,4.3,26.9,25.45,Nur 01-2019
6W-819,,,09-2018,6W-819,6W-918,2018,Sep,Oded098_6W0918,UIC,6W-918,10-2020,work,Ein7,Ein7 819,Ein7 09-2018 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,1.75,25,7.22,0.82,4500,4.44,16,24.61,Fuliya4 09-2017
5W-819,,,09-2018,5W-819,189-5w,2018,Sep,Oded099_5W_0918,UIC,5W-918,10-2020,work,Fuliya4,Fuliya4 819,Fuliya4 09-2018 (W),Fulia,Fuliya,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,6.08,27,7.39,1.46,3210,6.76,151.7,18.05,Fuliya4 01-2018
12B-819,,,09-2018,12B-819,12B-918,2018,Sep,Oded100_12B_0918,UIC,12B-918,10-2020,work,Tiberias Head,Tiberias Head 819,Tiberias Head 09-2018 (B),Hamei-tveria,Tiberias Hot Springs,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,12.3,58.5,6.36,0.81,46900,9.89,12.6,282.79,Fuliya4 09-2018
14B-819,,,09-2018,14B-819,14B-918,2018,Sep,Oded101_14B_0918,UIC,14B-918,10-2020,work,Tiberias Pool,Tiberias Pool 819,Tiberias Pool 09-2018 (B),Hamei-tveria,Tiberias Hot Springs,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,6.48,44,6.91,1.26,48400,8.35,16.3,296.29,Fuliya4 01-2019
11B-819,,,09-2018,11B-819,11B-918,2018,Sep,Oded102_11B_0918,UIC,11B-918,10-2020,fail,Gesher hana,Gesher hana 819,Gesher hana 09-2018 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,4.3,25,7.61,11.1,4530,4.64,41.5,24.85,
9B-819,,,09-2018,9B-819,9B-918,2018,Sep,Oded103_9B_0918,UIC,9B-918,10-2020,work,Maayan1,Maayan1 819, Maayan1 09-2018 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,27.4,25,7.19,27.8,4670,4.3,26.9,25.45,
6B-819,,,09-2018,6B-819,6B-918,2018,Sep,Oded104_6B_0918,UIC,6B-918,10-2020,work,Ein7,Ein7 819,Ein7 0918 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,3.7,25,7.22,0.82,4500,4.44,16,24.61,
5B-819,,,09-2018,5B-819,5B-918,2018,Sep,Oded105_5B_0918,UIC,5B-918,10-2020,work,Fuliya4,Fuliya4 819, Fuliya4 09-2018 (B),Fulia,Fuliya,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,22.6,27,7.39,1.46,3210,6.76,151.7,18.05,
8W-911,,,01-2019,8W-911,8W-119,2019,Jan,Oded106_8w_0119,UIC,8W-119,10-2020,work,Barbutim,Barbutim 911,Barbutim 01-2019 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,19.2,21.9,7.03,4.48,5180,1.03,85.1,26.77,
16W-911,,,01-2019,16W-911,16W-119,2019,Jan,Oded107_16w_0119,UIC,16W-119,10-2020,work,Haon,Haon 911,Haon 01-2019 (W),Haon,Haon,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,26.8,25,6.8,15.2,25500,4.87,75.1,189.73,
12W-911,,,01-2019,12W-911,12W-119,2019,Jan,Oded108_12w_0119,UIC,12W-119,10-2020,work,Tiberias Head,Tiberias Head 911,Tiberias Head 01-2019 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,2.19,58,6.49,0.786,45700,33.73,7,277.38,
13W-911,,,01-2019,13W-911,13W-119,2019,Jan,Oded109_13w_0119,UIC,13W-119,10-2020,work,Tiberias Pump,Tiberias Pump 911,Tiberias Pump 01-2019 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,15.2,43.5,6.98,7.39,44400,28.52,24.8,271.67,
14W-911,,,01-2019,14W-911,14W-119,2019,Jan,Oded110_14W_0119,UIC,14W-119,10-2020,work,Tiberias Pool,Tiberias Pool 911,Tiberias Pool 01-2019 (W),Hamei-tveria,Tiberias Hot Springs,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,12.7,39,7.27,0.781,47500,36.22,8.7,295.46,
11W-911,,,01-2019,11W-911,11W-119,2019,Jan,Oded111_11W_0119,UIC,11W-119,10-2020,work,Gesher hana,Gesher hana 911,Gesher hana 01-2019 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,3.02,22,7.82,5.04,1780,6.28,43.2,7.35,
10W-911,,,01-2019,10W-911,10W-119,2019,Jan,Oded112_10W_0119,UIC,10W-119,10-2020,work,Nur,Nur 911,Nur 01-2019 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,2.64,27,7.07,3.61,6780,3.18,25.8,39.62,
9W-911,,,01-2019,9W-911,9W-119,2019,Jan,Oded113_9W_0119,UIC,9W-119,10-2020,work,Maayan1,Maayan1 911,Maayan1 01-2019 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,2.36,23.5,7.09,2.92,1927,6.18,33.4,8.17,
6W-911,,,01-2019,6W-911,6W-119,2019,Jan,Oded114_6W0119,UIC,6W-119,10-2020,work,Ein7,Ein7 911,Ein7 01-2019 (W),Tabha,Tabgha,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,1.47,23,7.16,5.88,1775,6.34,45.5,7.31,
5W-911,,,01-2019,5W-911,191-5w,2019,Jan,Oded115_5W_0119,UIC,5W-119,10-2020,work,Fuliya4,Fuliya4 911,Fuliya4 01-2019 (W),Fulia,Fuliya,Water,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-Water,27.4,23,7.53,2.88,3650,4.34,93.5,21.1,
12B-911,,,01-2019,12B-911,12B-119,2019,Jan,Oded116_12B_0119,UIC,12B-119,10-2020,work,Tiberias Head,Tiberias Head 911,Tiberias Head 01-2019 (B),Hamei-tveria,Tiberias Hot Springs,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,15.9,58,6.49,0.786,45700,33.73,7,277.38,
14B-911,,,01-2019,14B-911,14B-119,2019,Jan,Oded117_14B_0119,UIC,14B-119,10-2020,work,Tiberias Pool,Tiberias Pool 911,Tiberias Pool 01-2019 (B),Hamei-tveria,Tiberias Hot Springs,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,25.6,39,7.27,0.781,47500,36.22,8.7,295.46,
11B-911,,,01-2019,11B-911,11B-119,2019,Jan,Oded119_11B_0119,UIC,11B-119,10-2020,work,Gesher hana,Gesher hana 911,Gesher hana 01-2019 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,28,22,7.82,5.04,1780,6.28,43.2,7.35,
9B-911,,,01-2019,9B-911,9B-119,2019,Jan,Oded120_9B_0119,UIC,9B-119,10-2020,work,Maayan1,Maayan1 911,Maayan1 01-2019 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,21.4,23.5,7.09,2.92,1927,6.18,33.4,8.17,
6B-911,,,01-2019,6B-911,6B-119,2019,Jan,Oded121_6B_0119,UIC,6B-119,10-2020,fail,Ein7,Ein7 911,Ein7 01-2019 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,11.3,23,7.16,5.88,1775,6.34,45.5,7.31,
5B-911,,,01-2019,5B-911,5B-119,2019,Jan,Oded122_5B_0119,UIC,5B-119,10-2020,fail,Fuliya4,Fuliya4 911,Fuliya4 01-2019 (B),Fulia,Fuliya,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,24.4,23,7.53,2.88,3650,4.34,93.5,21.1,
14B-719,,,09-2017,14B-719,14B-917,2017,Sep,14B-0917-Lgsp17F,MrDNA,14B-917,1.2021,worked,Tiberias Pool,Tiberias Pool 719,Tiberias Pool 09-2017 (B),Hamei-tveria,Tiberias Hot Springs,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,3.48,46,6.97,1.32,47900,7.71,20.6,366.42,
11B-719,,,09-2017,11B-719,11B-917,2017,Sep,11B-0917-Lgsp17F,MrDNA,11B-917,1.2021,worked,Gesher hana,Gesher hana 719,Gesher hana 09-2017 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,7.8,26,7.89,2.21,4430,2.4,18.3,27.23,
10B-719,,,09-2017,10B-719,10B-917,2017,Sep,10B-0917-Lgsp17F,MrDNA,10B-917,1.2021,worked,Nur,Nur 719,Nur 09-2017 (B),Tabha,Tabgha,Biofilm,0m,16S-V3V4-Legionella,Lgsp17F-Lgsp28R,Power-soil,1.16,26,7.29,0.54,6660,2.04,17.4,41.58,
